ID,PurchaseOrder,PurchaseOrderItem,Material,PurchaseOrderItemText,MaterialGroup,Plant,CompanyCode,OrderQuantity,PurchaseOrderQuantityUnit,NetPriceAmount,DocumentCurrency,DeliveryDate,_PurchaseOrder_ID,createdAt,createdBy,modifiedAt,modifiedBy
ee390997-bae9-4241-9c72-cd97dd1c95ef,1100000020,00010,,Phần mềm quản lý,YBFA10,1000,1000,100,EA,900000000.0,VND,2026-02-27,8b788f4d-6931-4183-9f9b-fbe9b441e378,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
225b4b40-3ed2-4bc3-ad31-f10154dfb4d7,1100000020,00020,500000051,Lucentis soln for inj 30 mg/mL,C003,1000,1000,100.0,MG,250045,VND,2026-02-27,8b788f4d-6931-4183-9f9b-fbe9b441e378,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
40fc95f1-7deb-4fca-a188-4b2d7ec3d91c,1100000037,00010,500000051,Lucentis soln for inj 30 mg/mL,C003,1000,1000,100.0,MG,250045,VND,2026-01-18,c9e488b7-415a-4d74-879c-7d95190a77e5,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
cda2370c-ec3b-41a4-a3cb-e3de3eabb0c1,1100000037,00020,200000000,Nguyên vật liệu 1,C001,1000,1000,2000.0,KG,100.0,VND,2026-01-18,c9e488b7-415a-4d74-879c-7d95190a77e5,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
5fa05574-4787-4a4b-8ebc-0e7a8730d130,1100000067,00010,500000063,BIOLINE™ HBSAG (30T),C003,1000,1000,342,BOX,0.78,SGD,2026-02-25,3798bbf0-ab0d-4712-b914-5faf7907a231,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
0ef05489-b31f-4357-91d8-7a6a6292fac9,1100000067,00020,500000030,Lucentis soln for inj 10 mg/mL,C003,1000,1000,100.0,MG,2.52,SGD,2026-02-25,3798bbf0-ab0d-4712-b914-5faf7907a231,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
89a61460-3c65-4857-8233-69580ae86b6d,1100000081,00010,500000030,Máy tính Laptop,C003,1000,1000,100.0,MG,2.52,SGD,2026-02-15,30cb333d-6ff6-435d-945d-89af9fc353dc,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
866b4617-9fed-4c29-b9ba-b4591f153796,1100000081,00020,200000000,Nguyên vật liệu 1,C001,1000,1000,2000.0,KG,100.0,SGD,2026-02-15,30cb333d-6ff6-435d-945d-89af9fc353dc,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
873261e4-cbd0-4cd4-b10c-0e4b10ace0fb,1100000026,00010,500000030,Lucentis soln for inj 10 mg/mL,C003,1000,1000,100.0,MG,45000.0,VND,2026-01-09,03313e95-5803-4e70-9868-b3b2c1fdcb88,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
6de063b3-c846-420e-8282-b372157eb4b7,1100000026,00020,500000051,Lucentis soln for inj 30 mg/mL,C003,1000,1000,100.0,MG,250045,VND,2026-01-09,03313e95-5803-4e70-9868-b3b2c1fdcb88,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
10a5404a-4c04-421d-8968-ec68ecb48ea4,1100000097,00010,500000106,CKDeloseta 150mg,C003,1000,1000,4,BOX,15000.0,SGD,2026-03-05,f95bd1af-5d29-44eb-bedc-399b1659f106,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
556bc934-3f5b-483d-bd02-d57378dd2f6e,1100000097,00020,,Dịch vụ dọn dẹp văn phòng,YBMM00,1000,1000,1,EA,4598000,SGD,2026-03-05,f95bd1af-5d29-44eb-bedc-399b1659f106,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
3cfa51f0-9900-4be5-95f0-5978b459737a,1100000018,00010,,Phần mềm quản lý,YBFA10,1000,1000,1,EA,5000.0,VND,2026-03-01,e0806747-e8b7-44bc-99e9-fd5efaf15c39,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
92eae892-dbfc-46c7-a445-112b095e9988,1100000018,00020,500000051,Lucentis soln for inj 30 mg/mL,C003,1000,1000,100.0,MG,14.0,VND,2026-03-01,e0806747-e8b7-44bc-99e9-fd5efaf15c39,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
a37821e1-34fc-4491-b9be-920babf376b6,1100000015,00010,,Phần mềm quản lý,YBFA10,1000,1000,1,EA,5000.0,VND,2026-02-06,165c046b-5717-47d8-9c9d-8c7da0e99a56,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
6ddd9e53-cbac-47e0-9eba-3dd6da12f514,1100000015,00020,,DỊCH VỤ,C003,1000,1000,10,BAG,500.0,VND,2026-02-06,165c046b-5717-47d8-9c9d-8c7da0e99a56,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
927853b1-ffb6-4931-8def-845cbb707ac5,1100000021,00010,,asset test,YBFA02,1000,1000,1,EA,1234567.0,SGD,2025-12-28,986e1a15-9f7a-423f-94a8-58eadec37fa1,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
00c5ea3d-0cc4-4e1c-8610-c4ada6c5e037,1100000021,00020,71,Hàng tạm nhập tái xuất,L001,1000,1000,1,EA,0.0,SGD,2025-12-28,986e1a15-9f7a-423f-94a8-58eadec37fa1,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
37d63d09-187d-4a73-bc78-01d1818e2dc0,1100000052,00010,500000030,Lucentis soln for inj 10 mg/mL,C003,1000,1000,10.0,MG,45000,SGD,2026-01-01,0e69d109-bd39-4381-9893-9e8f85b82cf3,2025-12-16,huan.dinh@citek.vn,2025-12-16,huan.dinh@citek.vn
